Bug_ID,Video_Link
1279708,https://bugzilla.mozilla.org/attachment.cgi?id=8792879
1279922,https://bugzilla.mozilla.org/attachment.cgi?id=8762550
1281783,https://bugzilla.mozilla.org/attachment.cgi?id=8764596
1283042,https://bugzilla.mozilla.org/attachment.cgi?id=8766230
1285543,https://bugzilla.mozilla.org/attachment.cgi?id=8769185
1285544,https://bugzilla.mozilla.org/attachment.cgi?id=8769186
1285545,https://bugzilla.mozilla.org/attachment.cgi?id=8769187
1285547,https://bugzilla.mozilla.org/attachment.cgi?id=8769190
1288727,https://bugzilla.mozilla.org/attachment.cgi?id=8773755
1291683,https://bugzilla.mozilla.org/attachment.cgi?id=8777311
1291701,https://bugzilla.mozilla.org/attachment.cgi?id=8777324
1298438,https://bugzilla.mozilla.org/attachment.cgi?id=8791630
1298653,https://bugzilla.mozilla.org/attachment.cgi?id=8785643
1301939,https://bugzilla.mozilla.org/attachment.cgi?id=8790075
1301941,https://bugzilla.mozilla.org/attachment.cgi?id=8790076
1302161,https://bugzilla.mozilla.org/attachment.cgi?id=8790355
1302472,https://bugzilla.mozilla.org/attachment.cgi?id=8791678
1302472,https://bugzilla.mozilla.org/attachment.cgi?id=8791806
1303274,https://bugzilla.mozilla.org/attachment.cgi?id=8791885
1303874,https://bugzilla.mozilla.org/attachment.cgi?id=8793293
1303874,https://bugzilla.mozilla.org/attachment.cgi?id=8793294
1304313,https://bugzilla.mozilla.org/attachment.cgi?id=8793226
1305071,https://bugzilla.mozilla.org/attachment.cgi?id=8794228
1305194,https://bugzilla.mozilla.org/attachment.cgi?id=8810820
1305530,https://bugzilla.mozilla.org/attachment.cgi?id=8808501
1306234,https://bugzilla.mozilla.org/attachment.cgi?id=8796064
1306295,https://bugzilla.mozilla.org/attachment.cgi?id=8796169
1306297,https://bugzilla.mozilla.org/attachment.cgi?id=8796171
1306298,https://bugzilla.mozilla.org/attachment.cgi?id=8796289
1306299,https://bugzilla.mozilla.org/attachment.cgi?id=8796173
1306599,https://bugzilla.mozilla.org/attachment.cgi?id=8796531
1308187,https://bugzilla.mozilla.org/attachment.cgi?id=8798418
1309775,https://bugzilla.mozilla.org/attachment.cgi?id=8800512
1310161,https://bugzilla.mozilla.org/attachment.cgi?id=8801073
1310613,https://bugzilla.mozilla.org/attachment.cgi?id=8801658
1311320,https://bugzilla.mozilla.org/attachment.cgi?id=8802468
1311663,https://bugzilla.mozilla.org/attachment.cgi?id=8802873
1312008,https://bugzilla.mozilla.org/attachment.cgi?id=8803356
1313298,https://bugzilla.mozilla.org/attachment.cgi?id=8973823
1314315,https://bugzilla.mozilla.org/attachment.cgi?id=8806380
1321416,https://bugzilla.mozilla.org/attachment.cgi?id=8815915
1322285,https://bugzilla.mozilla.org/attachment.cgi?id=8817048
1324918,https://bugzilla.mozilla.org/attachment.cgi?id=8820426
1324918,https://bugzilla.mozilla.org/attachment.cgi?id=8820862
1325591,https://bugzilla.mozilla.org/attachment.cgi?id=8828813
1326104,https://bugzilla.mozilla.org/attachment.cgi?id=8822260
1327493,https://bugzilla.mozilla.org/attachment.cgi?id=8822982
1327830,https://bugzilla.mozilla.org/attachment.cgi?id=8822997
1328061,https://bugzilla.mozilla.org/attachment.cgi?id=8823024
1328061,https://bugzilla.mozilla.org/attachment.cgi?id=8823724
1329333,https://bugzilla.mozilla.org/attachment.cgi?id=9094139
1329631,https://bugzilla.mozilla.org/attachment.cgi?id=8825009
1330953,https://bugzilla.mozilla.org/attachment.cgi?id=8826569
1331655,https://bugzilla.mozilla.org/attachment.cgi?id=8827495
1331934,https://bugzilla.mozilla.org/attachment.cgi?id=8827894
1331979,https://bugzilla.mozilla.org/attachment.cgi?id=8827964
1332306,https://bugzilla.mozilla.org/attachment.cgi?id=8828350
1332306,https://bugzilla.mozilla.org/attachment.cgi?id=8830637
1332757,https://bugzilla.mozilla.org/attachment.cgi?id=8828983
1332757,https://bugzilla.mozilla.org/attachment.cgi?id=8828984
1332943,https://bugzilla.mozilla.org/attachment.cgi?id=8829263
1334213,https://bugzilla.mozilla.org/attachment.cgi?id=8830836
1335332,https://bugzilla.mozilla.org/attachment.cgi?id=8832345
1335722,https://bugzilla.mozilla.org/attachment.cgi?id=8832455
1335724,https://bugzilla.mozilla.org/attachment.cgi?id=8832456
1344530,https://bugzilla.mozilla.org/attachment.cgi?id=8843674
1349094,https://bugzilla.mozilla.org/attachment.cgi?id=8849657
1352075,https://bugzilla.mozilla.org/attachment.cgi?id=8852934
1352075,https://bugzilla.mozilla.org/attachment.cgi?id=8852935
1352075,https://bugzilla.mozilla.org/attachment.cgi?id=8852936
1352075,https://bugzilla.mozilla.org/attachment.cgi?id=8852937
1352075,https://bugzilla.mozilla.org/attachment.cgi?id=8857004
1363621,https://bugzilla.mozilla.org/attachment.cgi?id=8866180
1365875,https://bugzilla.mozilla.org/attachment.cgi?id=8868929
1368074,https://bugzilla.mozilla.org/attachment.cgi?id=8871773
1376390,https://bugzilla.mozilla.org/attachment.cgi?id=8881340
1378754,https://bugzilla.mozilla.org/attachment.cgi?id=8890879
1380246,https://bugzilla.mozilla.org/attachment.cgi?id=8886063
1380740,https://bugzilla.mozilla.org/attachment.cgi?id=8886272
1385901,https://bugzilla.mozilla.org/attachment.cgi?id=8892023
1388192,https://bugzilla.mozilla.org/attachment.cgi?id=8894666
1388192,https://bugzilla.mozilla.org/attachment.cgi?id=8895140
1389559,https://bugzilla.mozilla.org/attachment.cgi?id=8896380
1403417,https://bugzilla.mozilla.org/attachment.cgi?id=8912491
1403563,https://bugzilla.mozilla.org/attachment.cgi?id=8913420
1405809,https://bugzilla.mozilla.org/attachment.cgi?id=8916775
1409347,https://bugzilla.mozilla.org/attachment.cgi?id=8935292
1417204,https://bugzilla.mozilla.org/attachment.cgi?id=8934682
1419683,https://bugzilla.mozilla.org/attachment.cgi?id=8982512
1423516,https://bugzilla.mozilla.org/attachment.cgi?id=8934915
1423516,https://bugzilla.mozilla.org/attachment.cgi?id=8934955
1423516,https://bugzilla.mozilla.org/attachment.cgi?id=9156625
1425252,https://bugzilla.mozilla.org/attachment.cgi?id=9154133
1426652,https://bugzilla.mozilla.org/attachment.cgi?id=8938337
1426657,https://bugzilla.mozilla.org/attachment.cgi?id=8938341
1428518,https://bugzilla.mozilla.org/attachment.cgi?id=8940396
1428602,https://bugzilla.mozilla.org/attachment.cgi?id=8940492
1429324,https://bugzilla.mozilla.org/attachment.cgi?id=8941357
1433791,https://bugzilla.mozilla.org/attachment.cgi?id=8946150
1435589,https://bugzilla.mozilla.org/attachment.cgi?id=8948202
1439023,https://bugzilla.mozilla.org/attachment.cgi?id=8951791
1441841,https://bugzilla.mozilla.org/attachment.cgi?id=9041787
1465412,https://bugzilla.mozilla.org/attachment.cgi?id=8981831
1465413,https://bugzilla.mozilla.org/attachment.cgi?id=8981832
1474736,https://bugzilla.mozilla.org/attachment.cgi?id=8991129
1474743,https://bugzilla.mozilla.org/attachment.cgi?id=8992099
1478417,https://bugzilla.mozilla.org/attachment.cgi?id=8994897
1478633,https://bugzilla.mozilla.org/attachment.cgi?id=8995162
1480158,https://bugzilla.mozilla.org/attachment.cgi?id=8996784
1482480,https://bugzilla.mozilla.org/attachment.cgi?id=8999258
1483889,https://bugzilla.mozilla.org/attachment.cgi?id=9001618
1484176,https://bugzilla.mozilla.org/attachment.cgi?id=9007822
1485145,https://bugzilla.mozilla.org/attachment.cgi?id=9002910
1485145,https://bugzilla.mozilla.org/attachment.cgi?id=9002911
1486636,https://bugzilla.mozilla.org/attachment.cgi?id=9004387
1489940,https://bugzilla.mozilla.org/attachment.cgi?id=9007673
1490919,https://bugzilla.mozilla.org/attachment.cgi?id=9008637
1496429,https://bugzilla.mozilla.org/attachment.cgi?id=9014401
1497794,https://bugzilla.mozilla.org/attachment.cgi?id=9015788
1498075,https://bugzilla.mozilla.org/attachment.cgi?id=9016134
1498075,https://bugzilla.mozilla.org/attachment.cgi?id=9016135
1498678,https://bugzilla.mozilla.org/attachment.cgi?id=9016871
1501242,https://bugzilla.mozilla.org/attachment.cgi?id=9019323
1504547,https://bugzilla.mozilla.org/attachment.cgi?id=9024274
1504547,https://bugzilla.mozilla.org/attachment.cgi?id=9024275
1506678,https://bugzilla.mozilla.org/attachment.cgi?id=9024544
1515913,https://bugzilla.mozilla.org/attachment.cgi?id=9038203
1518086,https://bugzilla.mozilla.org/attachment.cgi?id=9034667
1519062,https://bugzilla.mozilla.org/attachment.cgi?id=9036106
1519616,https://bugzilla.mozilla.org/attachment.cgi?id=9036107
1520173,https://bugzilla.mozilla.org/attachment.cgi?id=9036583
1522078,https://bugzilla.mozilla.org/attachment.cgi?id=9038481
1524679,https://bugzilla.mozilla.org/attachment.cgi?id=9041922
1525293,https://bugzilla.mozilla.org/attachment.cgi?id=9041477
1527301,https://bugzilla.mozilla.org/attachment.cgi?id=9043258
1530949,https://bugzilla.mozilla.org/attachment.cgi?id=9047002
1530949,https://bugzilla.mozilla.org/attachment.cgi?id=9047317
1531410,https://bugzilla.mozilla.org/attachment.cgi?id=9047435
1534986,https://bugzilla.mozilla.org/attachment.cgi?id=9093574
1536549,https://bugzilla.mozilla.org/attachment.cgi?id=9052094
1538460,https://bugzilla.mozilla.org/attachment.cgi?id=9053597
1538528,https://bugzilla.mozilla.org/attachment.cgi?id=9053120
1539088,https://bugzilla.mozilla.org/attachment.cgi?id=9053533
1540727,https://bugzilla.mozilla.org/attachment.cgi?id=9122378
1543027,https://bugzilla.mozilla.org/attachment.cgi?id=9093014
1543414,https://bugzilla.mozilla.org/attachment.cgi?id=9059240
1543805,https://bugzilla.mozilla.org/attachment.cgi?id=9093525
1543805,https://bugzilla.mozilla.org/attachment.cgi?id=9124296
1543805,https://bugzilla.mozilla.org/attachment.cgi?id=9127539
1543805,https://bugzilla.mozilla.org/attachment.cgi?id=9127541
1544570,https://bugzilla.mozilla.org/attachment.cgi?id=9058415
1546326,https://bugzilla.mozilla.org/attachment.cgi?id=9060038
1546362,https://bugzilla.mozilla.org/attachment.cgi?id=9093612
1549096,https://bugzilla.mozilla.org/attachment.cgi?id=9062728
1549442,https://bugzilla.mozilla.org/attachment.cgi?id=9079604
1549542,https://bugzilla.mozilla.org/attachment.cgi?id=9093526
1554153,https://bugzilla.mozilla.org/attachment.cgi?id=9067326
1554458,https://bugzilla.mozilla.org/attachment.cgi?id=9086056
1554996,https://bugzilla.mozilla.org/attachment.cgi?id=9068034
1555124,https://bugzilla.mozilla.org/attachment.cgi?id=9068155
1557994,https://bugzilla.mozilla.org/attachment.cgi?id=9070817
1557994,https://bugzilla.mozilla.org/attachment.cgi?id=9076518
1559086,https://bugzilla.mozilla.org/attachment.cgi?id=9071830
1559086,https://bugzilla.mozilla.org/attachment.cgi?id=9072772
1560042,https://bugzilla.mozilla.org/attachment.cgi?id=9088066
1561647,https://bugzilla.mozilla.org/attachment.cgi?id=9074252
1564074,https://bugzilla.mozilla.org/attachment.cgi?id=9076489
1565527,https://bugzilla.mozilla.org/attachment.cgi?id=9077646
1566847,https://bugzilla.mozilla.org/attachment.cgi?id=9078713
1568216,https://bugzilla.mozilla.org/attachment.cgi?id=9080007
1570638,https://bugzilla.mozilla.org/attachment.cgi?id=9082234
1571465,https://bugzilla.mozilla.org/attachment.cgi?id=9083037
1571700,https://bugzilla.mozilla.org/attachment.cgi?id=9083318
1576148,https://bugzilla.mozilla.org/attachment.cgi?id=9087705
1576199,https://bugzilla.mozilla.org/attachment.cgi?id=9087772
1577453,https://bugzilla.mozilla.org/attachment.cgi?id=9089017
1581063,https://bugzilla.mozilla.org/attachment.cgi?id=9092601
1582163,https://bugzilla.mozilla.org/attachment.cgi?id=9093605
1582171,https://bugzilla.mozilla.org/attachment.cgi?id=9093609
1582178,https://bugzilla.mozilla.org/attachment.cgi?id=9093614
1582378,https://bugzilla.mozilla.org/attachment.cgi?id=9093830
1583150,https://bugzilla.mozilla.org/attachment.cgi?id=9094541
1583266,https://bugzilla.mozilla.org/attachment.cgi?id=9094626
1583445,https://bugzilla.mozilla.org/attachment.cgi?id=9094818
1584171,https://bugzilla.mozilla.org/attachment.cgi?id=9095487
1585642,https://bugzilla.mozilla.org/attachment.cgi?id=9098241
1586304,https://bugzilla.mozilla.org/attachment.cgi?id=9098858
1586998,https://bugzilla.mozilla.org/attachment.cgi?id=9099461
1587927,https://bugzilla.mozilla.org/attachment.cgi?id=9105777
1590362,https://bugzilla.mozilla.org/attachment.cgi?id=9103220
1590362,https://bugzilla.mozilla.org/attachment.cgi?id=9103222
1593467,https://bugzilla.mozilla.org/attachment.cgi?id=9174373
1593467,https://bugzilla.mozilla.org/attachment.cgi?id=9174374
1594992,https://bugzilla.mozilla.org/attachment.cgi?id=9107428
1596088,https://bugzilla.mozilla.org/attachment.cgi?id=9108389
1597060,https://bugzilla.mozilla.org/attachment.cgi?id=9109229
1597784,https://bugzilla.mozilla.org/attachment.cgi?id=9110056
1597902,https://bugzilla.mozilla.org/attachment.cgi?id=9110171
1598242,https://bugzilla.mozilla.org/attachment.cgi?id=9110466
1598717,https://bugzilla.mozilla.org/attachment.cgi?id=9113720
1600397,https://bugzilla.mozilla.org/attachment.cgi?id=9155251
1602332,https://bugzilla.mozilla.org/attachment.cgi?id=9124242
